epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
63,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
64,0.6931,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
65,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
66,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
67,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
68,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
69,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
70,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
71,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
72,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
73,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
74,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
75,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
76,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
77,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
78,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
79,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
80,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
81,0.6931,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
82,0.6931,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
83,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
84,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
85,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
86,0.6931,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
